City,Team Name,Sport
Texas,Huston Texans,NFL
Nevada,Las Vegas Raiders,NFL
Texas,Huston Texans,NFL
New York,New York Giants,NFL
Chicago,Chicago Bears,NFL
Philadelphia,Philadelphia Eagles,NFL
Texas,Huston Texans,NFL
Seattle,Seattle Seahawks,NFL
Philadelphia,Philadelphia Eagles,NFL
New York,New York Giants,NFL
Texas,Huston Texans,NFL
Philadelphia,Philadelphia Eagles,NFL
Texas,Huston Texans,NFL
Dallas,Dollas Cowboys,NFL
Los Angeles,Los Angeles Rams,NFL
New York,New York Giants,NFL
New York,New York Giants,NFL
Seattle,Seattle Seahawks,NFL
Washington,Washington Football Team,NFL
Washington,Washington Football Team,NFL
Nevada,Las Vegas Raiders,NFL
New York,New York Jets,NFL
New York,New York Jets,NFL
Texas,Huston Texans,NFL
Texas,NFL
